kind,source,source_id,name,country,uic,iata,icao,lat,lon
station,trainline,407,Fontenoy-sur-Moselle,FR,8714105,,,48.711721,5.980365
station,trainline,408,Liverdun,FR,8714106,,,48.749316,6.061737
station,trainline,409,Champigneulles,FR,8714108,,,48.73499,6.16913
station,trainline,410,Laneuveville-devant-Nancy,FR,8714109,,,48.65564,6.22792
station,trainline,411,Argèles-Gazost,FR,8767174,,,43.1,-0.05
station,trainline,412,Arches,FR,8714441,,,48.119813,6.528309
station,trainline,413,Varangéville – St-Nicolas,FR,8714110,,,48.635339,6.31286
station,trainline,414,Dombasle-sur-Meurthe,FR,8714111,,,48.623275,6.343478
station,trainline,415,Rosières-aux-Salines,FR,8714112,,,48.60563,6.350457
station,trainline,416,Argelès-sur-Mer,FR,8778423,,,42.54397,3.022349
station,trainline,421,Einvaux,FR,8714120,,,48.503486,6.393296
station,trainline,422,Bayon,FR,8714121,,,48.468046,6.322569
station,trainline,423,Argentan,FR,8744453,,,48.738545,-0.025291
station,trainline,425,Arvant,FR,8773425,,,45.36538,3.310675
station,trainline,428,Soulosse,FR,8714125,,,48.40923,5.739127
station,trainline,430,Ascq,FR,8728686,,,50.621859,3.159899
station,trainline,435,Aspres-sur-Buëch,FR,8776325,,,44.519428,5.754566
station,trainline,436,St-Clément-Laronxe,FR,8714137,,,48.531228,6.608111
station,trainline,437,Chenevières,FR,8714138,,,48.519506,6.632561
station,trainline,438,Ménil-Flin,FR,8714139,,,48.50502,6.659227
station,trainline,439,Azerailles,FR,8714140,,,48.491336,6.695778
station,trainline,440,Baccarat,FR,8714141,,,48.452405,6.74383
station,trainline,441,Bertrichamps,FR,8714142,,,48.428336,6.791234
station,trainline,442,Thiaville,FR,8714143,,,48.413987,6.810264
station,trainline,443,Houdemont,FR,8714147,,,48.645478,6.179726
station,trainline,444,Ludres,FR,8714148,,,48.621955,6.170912
station,trainline,445,Messein,FR,8714149,,,48.612879,6.137836
station,trainline,446,Neuves-Maisons,FR,8714150,,,48.614767,6.10789
station,trainline,447,Pont-St-Vincent,FR,8714152,,,48.602373,6.10315
station,trainline,448,Aixe-sur-Vienne,FR,8759266,,,45.7965,1.145689
station,trainline,449,Adamswiller – Mairie,FR,8765892,,,48.90384,7.20118
station,trainline,450,Bainville,FR,8714153,,,48.586379,6.099327
station,trainline,453,Pierreville,FR,8714155,,,48.548884,6.124141
station,trainline,454,Pulligny – Autrey,FR,8714156,,,48.536072,6.137477
station,trainline,455,Ceintrey,FR,8714157,,,48.523865,6.157287
station,trainline,456,Tantonville,FR,8714159,,,48.483843,6.129105
station,trainline,457,Vézelise,FR,8714160,,,48.480552,6.100651
station,trainline,458,Praye-sous-Vaudémont,FR,8714162,,,48.432789,6.100698
station,trainline,459,Diarville,FR,8714164,,,48.397565,6.126492
station,trainline,462,Blenod-les-Toul,FR,8714172,,,48.6,5.833333
station,trainline,463,Bulligny – Crézilles,FR,8714173,,,48.576646,5.848966
station,trainline,464,Barisey-la-Côte,FR,8714175,,,48.55,5.85
station,trainline,465,Pompey,FR,8714178,,,48.77304,6.13061
station,trainline,466,Marbache,FR,8714179,,,48.801041,6.109176
station,trainline,467,Belleville,FR,8714180,,,48.819572,6.101864
station,trainline,468,Dieulouard,FR,8714181,,,48.843367,6.071489
station,trainline,469,Pont-à-Mousson,FR,8714182,,,48.90058,6.050842
station,trainline,474,Auch,FR,8761174,,,43.647488,0.596661
station,trainline,476,Vitrey – Vernois,FR,8714217,,,47.830406,5.779407
station,trainline,477,Barges,FR,8714218,,,47.866667,5.85
station,trainline,481,Aurillac,FR,8764500,,,44.921092,2.435655
station,trainline,482,Froncles,FR,8714224,,,48.296415,5.141939
station,trainline,484,Donjeux,FR,8714227,,,48.365854,5.148225
station,trainline,486,Avail,FR,8730469,,,46.960187,2.05319
station,trainline,488,Châtillon-sur-Seine,FR,8714255,,,47.861261,4.574829
station,trainline,493,Aguilcourt – Variscourt,FR,8717170,,,49.408017,3.973137
station,trainline,495,Vaux-sous-Aubigny,FR,8714262,,,47.657894,5.291365
station,trainline,497,Selongey,FR,8714264,,,47.58704,5.18604
station,trainline,501,Neuvelle-lès-Champlitte,FR,8714269,,,47.583333,5.55
station,trainline,503,Chargey-les-Gray,FR,8714271,,,47.483333,5.583333
station,trainline,504,Til-Châtel,FR,8714278,,,47.514121,5.169067
station,trainline,506,Vraincourt-Viéville,FR,8714302,,,48.236698,5.123938
station,trainline,510,Leffond,FR,8714322,,,47.666667,5.466667
station,trainline,512,Le Martoulet,FR,8745002,,,45.577772,1.471192
